run_id,kind,n_reviews,wid,realized,belief,tstar,theta_tech,theta_grid,theta_ccs,scrap_rate,ccoal_price,ng_price,scrap_price,ccoal,ng,status,pv_cost_B,lcop_pv,slack_Mt,import_Mt,ccs_Mt,committed_B,stranded_B,str_conv_B,str_h2dri_B,str_h2supply_B,str_ccs_B,str_scrapchain_B,str_othchain_B,int_achieved,solve_s
chk2040_2030_0,chk2040,3,2030_0,2030,2030,2040,0.75,0.75,1.0,0.06,100,15,250,scarce,scarce,solved,1644.7419968710556,466.73458210496483,0.0,0.0,360.7071839295599,398.5868772369544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999996,0.44
settle_n3_2030_0,settle_n3,3,2030_0,2030,2030,2051,0.75,0.75,1.0,0.06,100,15,250,scarce,scarce,solved,1644.7419968710583,466.73458210496557,0.0,0.0,360.70718392955683,1161.4432888440886,77.63796094314225,40.22971670324844,20.64715638270174,16.761087857192056,7.898547717482454e-15,0.0,0.0,1.8000000000000003,0.53
final_2030_0,final,4,2030_0,2030,2030,2045,0.75,0.75,1.0,0.06,100,15,250,scarce,scarce,solved,1644.7419968710556,466.73458210496483,0.0,0.0,360.7071839295706,779.866199435549,0.7668804404156864,0.7668804404156864,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,1.04
settle_n4_2030_0,settle_n4,4,2030_0,2030,2030,2051,0.75,0.75,1.0,0.06,100,15,250,scarce,scarce,solved,1644.741996871056,466.7345821049649,0.0,0.0,360.7071839295603,1161.443288844085,77.63796094314098,40.22971670324677,20.647156382702974,16.76108785719122,1.777173236433549e-14,0.0,0.0,1.8,0.93
pf_2030_7,pf,,2030_7,2030,2030,2025,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.4215865272013,600.3010879772655,0.0,0.0,362.09750660560934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,2.98
norec_2030_7,norec,0,2030_7,2030,2030,2051,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2163.087465366162,613.8274125211097,0.0,0.0,378.78045941287684,1233.4505627859128,136.49467407016783,119.02538273297603,0.0,8.620903644860787,8.848387692331013,0.0,0.0,1.8000000000000007,1.55
chk2030_2030_7,chk2030,1,2030_7,2030,2030,2030,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383214,600.3613252841571,0.0,0.0,362.0975066056082,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000012,0.58
settle_n1_2030_7,settle_n1,1,2030_7,2030,2030,2051,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383514,600.3613252841657,0.0,0.0,362.0975066056086,1329.3310489632202,115.84279172178448,30.24233296296753,22.546591515684288,63.05386724313265,1.4865893053565036e-14,0.0,0.0,1.8000000000000003,1.04
chk2035_2030_7,chk2035,2,2030_7,2030,2030,2035,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383505,600.3613252841653,0.0,0.0,362.0975066056083,173.15211159078515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999994,0.5
settle_n2_2030_7,settle_n2,2,2030_7,2030,2030,2051,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383505,600.3613252841654,0.0,0.0,362.09750660560894,1329.3310489632229,115.84279172178526,30.242332962966294,22.546591515685467,63.053867243133475,2.2298839580347535e-14,0.0,0.0,1.8,0.58
